state,year,month,n_incidents,n_injured,n_killed,incidents_per_capita,injured_per_capita,killed_per_capita
Indiana,2015,9,27,9,28,4.085695495838492,1.3618984986128306,4.2370175512399175
Indiana,2015,10,23,3,25,3.4804072742327894,0.4539661662042769,3.783051385035641
Indiana,2015,11,29,4,31,4.388339606641344,0.6052882216057025,4.690983717444195
Indiana,2015,12,15,3,16,2.2698308310213844,0.4539661662042769,2.42115288642281
Indiana,2016,1,19,4,19,2.8639025284340303,0.6029268480913748,2.8639025284340303
Indiana,2016,2,15,2,19,2.2609756803426553,0.3014634240456874,2.8639025284340303
Indiana,2016,3,30,3,32,4.521951360685311,0.45219513606853107,4.823414784730998
Indiana,2016,4,29,8,30,4.371219648662467,1.2058536961827495,4.521951360685311
Indiana,2016,5,26,3,26,3.919024512593936,0.45219513606853107,3.919024512593936
Indiana,2016,6,21,4,21,3.1653659524797173,0.6029268480913748,3.1653659524797173
Indiana,2016,7,29,4,36,4.371219648662467,0.6029268480913748,5.426341632822373
Indiana,2016,8,26,4,28,3.919024512593936,0.6029268480913748,4.220487936639623
Indiana,2016,9,30,5,38,4.521951360685311,0.7536585601142184,5.7278050568680605
Indiana,2016,10,30,7,33,4.521951360685311,1.0551219841599058,4.974146496753842
Indiana,2016,11,30,6,31,4.521951360685311,0.9043902721370621,4.672683072708154
Indiana,2016,12,31,6,31,4.672683072708154,0.9043902721370621,4.672683072708154
Indiana,2017,1,21,4,23,3.1540633798522637,0.6007739771147169,3.4544503684096224
Indiana,2017,2,20,9,20,3.0038698855735846,1.351741448508113,3.0038698855735846
Indiana,2017,3,14,1,15,2.102708919901509,0.15019349427867923,2.2529024141801886
Indiana,2017,4,30,9,32,4.505804828360377,1.351741448508113,4.806191816917735
Indiana,2017,5,32,4,34,4.806191816917735,0.6007739771147169,5.106578805475094
Indiana,2017,6,23,2,26,3.4544503684096224,0.30038698855735846,3.9050308512456597
Indiana,2017,7,26,6,29,3.9050308512456597,0.9011609656720754,4.355611334081698
Indiana,2017,8,33,9,36,4.9563853111964145,1.351741448508113,5.406965794032452
Indiana,2017,9,25,6,27,3.7548373569669806,0.9011609656720754,4.055224345524339
Indiana,2017,10,30,5,31,4.505804828360377,0.7509674713933961,4.655998322639056
Indiana,2017,11,31,10,34,4.655998322639056,1.5019349427867923,5.106578805475094
Indiana,2017,12,20,3,21,3.0038698855735846,0.4505804828360377,3.1540633798522637
Alabama,2014,1,31,2,31,6.402578876157396,0.41306960491338035,6.402578876157396
Alabama,2014,2,14,0,14,2.8914872343936624,0,2.8914872343936624
Alabama,2014,3,21,1,22,4.337230851590493,0.20653480245669018,4.543765654047184
Alabama,2014,4,22,5,23,4.543765654047184,1.0326740122834508,4.750300456503874
Alabama,2014,5,28,0,29,5.782974468787325,0,5.989509271244015
Alabama,2014,6,18,4,18,3.717626444220423,0.8261392098267607,3.717626444220423
Alabama,2014,7,27,7,28,5.576439666330635,1.4457436171968312,5.782974468787325
Alabama,2014,8,21,2,22,4.337230851590493,0.41306960491338035,4.543765654047184
Alabama,2014,9,15,2,15,3.0980220368503524,0.41306960491338035,3.0980220368503524
Alabama,2014,10,17,0,17,3.511091641763733,0,3.511091641763733
Alabama,2014,11,19,2,19,3.924161246677113,0.41306960491338035,3.924161246677113
Alabama,2014,12,21,5,21,4.337230851590493,1.0326740122834508,4.337230851590493
Alabama,2015,1,20,2,22,4.1217167692252845,0.41217167692252843,4.533888446147813
Alabama,2015,2,23,5,24,4.739974284609077,1.0304291923063211,4.946060123070341
Alabama,2015,3,27,7,27,5.564317638454134,1.4426008692288494,5.564317638454134
Alabama,2015,4,23,4,23,4.739974284609077,0.8243433538450569,4.739974284609077
Alabama,2015,5,31,5,33,6.38866099229919,1.0304291923063211,6.800832669221719
Alabama,2015,6,19,3,23,3.91563093076402,0.6182575153837926,4.739974284609077
Alabama,2015,7,26,5,28,5.358231799992869,1.0304291923063211,5.770403476915398
Alabama,2015,8,20,0,20,4.1217167692252845,0,4.1217167692252845
Alabama,2015,9,22,1,27,4.533888446147813,0.20608583846126421,5.564317638454134
Alabama,2015,10,28,6,30,5.770403476915398,1.2365150307675852,6.182575153837926
Alabama,2015,11,34,6,39,7.006918507682983,1.2365150307675852,8.037347699989304
Alabama,2015,12,30,4,31,6.182575153837926,0.8243433538450569,6.38866099229919
Alabama,2016,1,48,5,51,9.869384859746788,1.0280609228902904,10.486221413480962
Alabama,2016,2,24,7,26,4.934692429873394,1.4392852920464065,5.34591679902951
Alabama,2016,3,33,3,36,6.785202091075917,0.6168365537341742,7.402038644810092
Alabama,2016,4,35,5,38,7.196426460232034,1.0280609228902904,7.813263013966208
Alabama,2016,5,33,10,34,6.785202091075917,2.0561218457805808,6.9908142756539755
Alabama,2016,6,29,4,29,5.962753352763684,0.8224487383122324,5.962753352763684
Alabama,2016,7,25,5,27,5.140304614451452,1.0280609228902904,5.551528983607568
Alabama,2016,8,19,9,24,3.906631506983104,1.850509661202523,4.934692429873394
Alabama,2016,9,39,9,42,8.018875198544265,1.850509661202523,8.63571175227844
Alabama,2016,10,41,10,43,8.430099567700381,2.0561218457805808,8.841323936856497
Alabama,2016,11,32,1,35,6.579589906497859,0.2056121845780581,7.196426460232034
Alabama,2016,12,30,8,33,6.168365537341742,1.6448974766244648,6.785202091075917
Alabama,2017,1,27,4,29,5.539045552700325,0.820599341140789,5.94934522327072
Alabama,2017,2,36,8,38,7.385394070267101,1.641198682281578,7.795693740837495
Alabama,2017,3,32,4,36,6.564794729126312,0.820599341140789,7.385394070267101
Alabama,2017,4,30,5,32,6.154495058555917,1.0257491764259863,6.564794729126312
Alabama,2017,5,40,7,41,8.20599341140789,1.4360488469963808,8.411143246693086
Alabama,2017,6,35,8,36,7.180244234981903,1.641198682281578,7.385394070267101
Alabama,2017,7,42,11,47,8.616293081978284,2.2566481881371696,9.64204225840427
Alabama,2017,8,35,4,38,7.180244234981903,0.820599341140789,7.795693740837495
Alabama,2017,9,39,7,42,8.000843576122692,1.4360488469963808,8.616293081978284
Alabama,2017,10,32,15,35,6.564794729126312,3.0772475292779586,7.180244234981903
Alabama,2017,11,43,5,44,8.821442917263482,1.0257491764259863,9.026592752548678
Alabama,2017,12,37,7,40,7.590543905552298,1.4360488469963808,8.20599341140789
Florida,2014,1,49,17,53,2.4690224600926607,0.8565996290117395,2.670575313977776
Florida,2014,2,33,18,36,1.6628110445522002,0.9069878424830182,1.8139756849660365
Florida,2014,3,57,4,67,2.872128167862891,0.20155285388511518,3.376010302575679
Florida,2014,4,46,13,49,2.3178578196788244,0.6550467751266242,2.4690224600926607
Florida,2014,5,44,12,49,2.217081392736267,0.6046585616553455,2.4690224600926607
Florida,2014,6,50,12,56,2.5194106735639394,0.6046585616553455,2.8217399543916124
Florida,2014,7,53,9,56,2.670575313977776,0.4534939212415091,2.8217399543916124
Florida,2014,8,43,13,50,2.166693179264988,0.6550467751266242,2.5194106735639394
Florida,2014,9,40,7,42,2.0155285388511515,0.35271749429895155,2.1163049657937094
Florida,2014,10,41,8,46,2.0659167523224307,0.40310570777023036,2.3178578196788244
Florida,2014,11,41,9,43,2.0659167523224307,0.4534939212415091,2.166693179264988
Florida,2014,12,58,19,64,2.92251638133417,0.9573760559542971,3.224845662161843
Florida,2015,1,65,16,71,3.216382053142351,0.791724813081194,3.5132788580477987
Florida,2015,2,40,8,42,1.9793120327029852,0.395862406540597,2.0782776343381344
Florida,2015,3,54,13,55,2.6720712441490297,0.6432764106284702,2.7215540449666045
Florida,2015,4,33,9,37,1.6329324269799628,0.4453452073581716,1.8308636302502612
Florida,2015,5,49,19,51,2.4246572400611566,0.940173215533918,2.523622841696306
Florida,2015,6,52,8,53,2.5731056425138807,0.395862406540597,2.6225884433314555
Florida,2015,7,51,7,57,2.523622841696306,0.3463796057230224,2.820519646601754
Florida,2015,8,55,11,59,2.7215540449666045,0.544310808993321,2.919485248236903
Florida,2015,9,49,11,54,2.4246572400611566,0.544310808993321,2.6720712441490297
Florida,2015,10,35,10,39,1.731898028615112,0.4948280081757463,1.9298292318854104
Florida,2015,11,49,14,51,2.4246572400611566,0.6927592114460448,2.523622841696306
Florida,2015,12,58,14,60,2.870002447419328,0.6927592114460448,2.9689680490544776
Florida,2016,1,57,18,64,2.765181245260079,0.8732151300821303,3.1047649069586853
Florida,2016,2,48,27,56,2.328573680219014,1.3098226951231955,2.7166692935888497
Florida,2016,3,61,26,61,2.959229051944997,1.261310743451966,2.959229051944997
Florida,2016,4,49,13,54,2.3770856318902434,0.630655371725983,2.619645390246391
Florida,2016,5,53,16,53,2.571133438575161,0.7761912267396713,2.571133438575161
Florida,2016,6,53,16,57,2.571133438575161,0.7761912267396713,2.765181245260079
Florida,2016,7,68,36,79,3.298812713643603,1.7464302601642605,3.8324441820271273
Florida,2016,8,57,18,64,2.765181245260079,0.8732151300821303,3.1047649069586853
Florida,2016,9,56,22,61,2.7166692935888497,1.067262936767048,2.959229051944997
Florida,2016,10,57,16,58,2.765181245260079,0.7761912267396713,2.813693196931309
Florida,2016,11,45,19,51,2.1830378252053255,0.9217270817533597,2.4741095352327025
Florida,2016,12,59,13,61,2.862205148602538,0.630655371725983,2.959229051944997
Florida,2017,1,65,18,75,3.1006105674627746,0.8586306186819992,3.577627577841663
