state,year,n_incidents,n_injured,n_killed,incidents_per_capita,injured_per_capita,killed_per_capita
Virginia,2014,20,10,9,2.4064513109324,1.2032256554662,1.08290308991958
Virginia,2015,10,4,2,1.195913611027663,0.47836544441106515,0.23918272220553258
Virginia,2016,25,21,7,2.9726141382760214,2.4969958761518583,0.832331958717286
Virginia,2017,10,6,5,1.1815321328888093,0.7089192797332856,0.5907660664444047
Oregon,2014,17,5,12,4.289415438464046,1.261592776018837,3.027822662445209
Oregon,2015,10,3,2,2.4901688135242064,0.7470506440572618,0.49803376270484123
Oregon,2016,16,6,5,3.9120033956189473,1.4670012733571052,1.222501061130921
Oregon,2017,19,5,4,4.585357024344626,1.2066729011433226,0.965338320914658
Pennsylvania,2014,41,21,13,3.206052276011699,1.642124336493797,1.0165531606866363
Pennsylvania,2015,25,6,9,1.955443116707259,0.46930634800974214,0.7039595220146132
Pennsylvania,2016,48,43,12,3.755200071974668,3.36403339781064,0.938800017993667
Pennsylvania,2017,55,33,13,4.301027843994056,2.580616706396434,1.016606581307686
Ohio,2014,63,25,27,5.429770656829875,2.1546708955674108,2.3270445672128037
Ohio,2015,45,28,12,3.8734577505178165,2.410151489211086,1.032922066804751
Ohio,2016,50,21,13,4.297611301686296,1.8049967467082446,1.1173789384384372
Ohio,2017,65,34,18,5.574781404244553,2.9160395037586895,1.5437856196369533
New Mexico,2014,15,5,10,7.178517282041073,2.392839094013691,4.785678188027382
New Mexico,2015,11,13,3,5.26494394509908,6.222206480571639,1.43589380320884
New Mexico,2016,13,4,3,6.215248394792578,1.9123841214746395,1.4342880911059797
New Mexico,2017,17,9,2,8.127034148841371,4.302547490563079,0.9561216645695731
Oklahoma,2014,17,12,8,4.383491564486189,3.0942293396373097,2.0628195597582066
Oklahoma,2015,23,12,7,5.883105256426653,3.0694462207443407,1.7905102954341987
Oklahoma,2016,27,11,6,6.876648963115947,2.8015977257139046,1.5281442140257662
Oklahoma,2017,44,18,11,11.192180938901885,4.578619475005317,2.798045234725471
Georgia,2014,42,29,8,4.1719320753832365,2.880619766336044,0.7946537286444261
Georgia,2015,58,40,19,5.698315273440044,3.9298726023724444,1.866689486126911
Georgia,2016,66,30,21,6.406591411867143,2.912087005394156,2.038460903775909
Georgia,2017,63,30,23,6.051681358804188,2.8817530280019943,2.209343988134862
Michigan,2014,49,24,13,4.934617327475707,2.4169554257023873,1.3091841889221265
Michigan,2015,30,20,10,3.0206263470105617,2.013750898007041,1.0068754490035206
Michigan,2016,30,22,5,3.0149023608795917,2.210928397978367,0.5024837268132653
Michigan,2017,42,32,11,4.211322561839762,3.208626713782676,1.102965432862795
Maryland,2014,9,5,2,1.5107558261039469,0.8393087922799706,0.3357235169119882
Maryland,2015,9,5,6,1.5036182066111754,0.8353434481173196,1.0024121377407835
Maryland,2016,6,3,2,0.9994464732282438,0.4997232366141219,0.33314882440941457
Maryland,2017,11,4,6,1.8260692299366452,0.6640251745224165,0.9960377617836247
Kentucky,2014,21,6,14,4.757213351277844,1.3592038146508127,3.171475567518563
Kentucky,2015,21,11,10,4.744716193671181,2.4853275300182376,2.259388663652943
Kentucky,2016,21,8,12,4.731667155605606,1.8025398688021355,2.703809803203203
Kentucky,2017,23,13,8,5.165906454867496,2.919860170142498,1.7968370277799988
Wisconsin,2014,25,10,8,4.346673273610042,1.738669309444017,1.3909354475552136
Wisconsin,2015,24,9,6,4.165986800765153,1.5622450502869325,1.0414967001912883
Wisconsin,2016,15,5,5,2.598469882348213,0.8661566274494044,0.8661566274494044
Wisconsin,2017,14,3,2,2.4178843304861015,0.5181180708184504,0.34541204721230023
Iowa,2014,12,2,5,3.8593275121810025,0.6432212520301671,1.6080531300754177
Iowa,2015,7,0,1,2.24289962062955,0,0.3204142315185071
Iowa,2016,6,3,0,1.9160936216117477,0.9580468108058738,0
Iowa,2017,8,5,1,2.546513663637376,1.5915710397733602,0.318314207954672
West Virginia,2014,10,2,7,5.406898878555104,1.0813797757110208,3.7848292149885725
West Virginia,2015,12,6,3,6.514481148720176,3.257240574360088,1.628620287180044
West Virginia,2016,7,3,4,3.822999492633353,1.6384283539857227,2.1845711386476303
West Virginia,2017,10,8,1,5.503565209542741,4.402852167634193,0.5503565209542741
South Carolina,2014,43,16,12,8.914472272570563,3.3170129386309073,2.4877597039731807
South Carolina,2015,36,18,15,7.359046660035348,3.679523330017674,3.066269441681395
South Carolina,2016,33,22,13,6.655952599936103,4.437301733290735,2.6220419333081617
South Carolina,2017,42,23,10,8.364421098415779,4.580516315799117,1.9915288329561378
Kansas,2014,11,3,6,3.792482265835768,1.0343133452279367,2.0686266904558734
Kansas,2015,6,3,3,2.0625566558531405,1.0312783279265703,1.0312783279265703
Kansas,2016,7,4,2,2.4048008069137334,1.3741718896649906,0.6870859448324953
Kansas,2017,20,7,4,6.875881402047225,2.4065584907165287,1.375176280409445
Nevada,2014,25,13,21,8.872711372828492,4.613809913870816,7.453077553175934
Nevada,2015,8,7,3,2.790432583323189,2.4416285104077904,1.046412218746196
Nevada,2016,17,14,6,5.826780775599362,4.798525344611239,2.0565108619762453
Nevada,2017,32,16,11,10.774755421469711,5.387377710734856,3.7038221761302133
North Carolina,2014,31,10,13,3.1209456022201807,1.0067566458774777,1.3087836396407209
North Carolina,2015,38,20,20,3.7880124557824306,1.9936907662012793,1.9936907662012793
North Carolina,2016,43,22,17,4.234455707002451,2.166465710559393,1.674087139977713
North Carolina,2017,34,24,10,3.311183141247379,2.3373057467628557,0.9738773944845233
Wyoming,2014,3,1,2,5.149940518187015,1.7166468393956715,3.433293678791343
Wyoming,2015,1,0,2,1.7076123651626585,0,3.415224730325317
Wyoming,2016,1,1,0,1.7116986041097881,1.7116986041097881,0
Wyoming,2017,6,0,1,10.363929380185203,0,1.7273215633642007
Minnesota,2014,15,8,5,2.751748782213576,1.4675993505139073,0.9172495940711921
Minnesota,2015,4,2,1,0.729656448557761,0.3648282242788805,0.18241411213944025
Minnesota,2016,13,4,2,2.3539023355056834,0.7242776416940564,0.3621388208470282
Minnesota,2017,7,4,2,1.2575836787197079,0.7186192449826903,0.3593096224913451
Alaska,2014,2,3,0,2.7163468394625436,4.074520259193815,0
Alaska,2015,13,7,0,17.627166446553076,9.491551163528579,0
Alaska,2016,20,9,3,26.973953950065816,12.138279277529618,4.046093092509873
Alaska,2017,6,5,0,8.1113965120995,6.7594970934162495,0
Colorado,2014,15,6,4,2.8036853883693036,1.1214741553477214,0.747649436898481
Colorado,2015,7,2,1,1.2842568638484078,0.36693053252811647,0.18346526626405824
Colorado,2016,15,6,2,2.707964937269992,1.0831859749079968,0.36106199163599895
Colorado,2017,22,8,8,3.920251395030369,1.425545961829225,1.425545961829225
Montana,2014,3,1,2,2.935797054221236,0.9785990180737454,1.9571980361474908
Montana,2015,5,2,1,4.852131298672942,1.9408525194691768,0.9704262597345884
Montana,2016,5,0,0,4.803724615918198,0,0
Montana,2017,3,0,0,2.8504050425565475,0,0
Tennessee,2014,32,19,11,4.892051532259335,2.90465559727898,1.6816427142141464
Tennessee,2015,36,20,18,5.461852751484183,3.034362639713435,2.7309263757420914
Tennessee,2016,60,31,23,9.027973174882373,4.664452807022559,3.460723050371576
Tennessee,2017,60,41,17,8.943478557041283,6.11137701397821,2.533985591161697
Mississippi,2014,10,5,4,3.3439582031976265,1.6719791015988132,1.3375832812790507
Mississippi,2015,12,7,4,4.01543130249549,2.3423349264557025,1.33847710083183
Mississippi,2016,23,14,9,7.697616215597512,4.685505522537616,3.012110693059896
Mississippi,2017,21,12,6,7.0269130770852355,4.015378901191563,2.0076894505957816
New York,2014,19,12,11,0.9668695040147729,0.6106544235882776,0.5597665549559212
New York,2015,29,18,7,1.475476612016709,0.9158130695276124,0.356149527038516
New York,2016,41,35,9,2.088275160099398,1.7826739171580226,0.458401864412063
New York,2017,37,18,5,1.88875999945277,0.9188562159499962,0.25523783776388786
Arizona,2014,35,20,19,5.200275228280939,2.971585844731965,2.8230065524953667
Arizona,2015,14,5,10,2.0498776223059485,0.7320991508235529,1.4641983016471058
Arizona,2016,13,7,7,1.8729095448080642,1.00848975489665,1.00848975489665
Arizona,2017,21,11,10,2.981257261490901,1.561610946495234,1.4196463149956673
Utah,2014,10,2,8,3.4049751453839265,0.6809950290767853,2.7239801163071413
Utah,2015,10,3,2,3.3536396212399415,1.0060918863719823,0.6707279242479883
Utah,2016,11,2,5,3.6161989935131964,0.6574907260933085,1.6437268152332711
Utah,2017,9,6,2,2.902250275875012,1.9348335172500082,0.6449445057500027
Massachusetts,2014,6,3,2,0.8872332459310004,0.4436166229655002,0.29574441531033346
Massachusetts,2015,10,2,1,1.4718375656513145,0.2943675131302629,0.14718375656513144
Massachusetts,2016,14,8,1,2.0517005080010455,1.1724002902863118,0.14655003628578897
Massachusetts,2017,13,4,2,1.895102021359549,0.5831083142644766,0.2915541571322383
Connecticut,2014,9,4,2,2.5038085710375007,1.1128038093500001,0.5564019046750001
Connecticut,2015,14,6,3,3.9028502515386987,1.6726501078022995,0.8363250539011498
Connecticut,2016,17,13,0,4.751070458095419,3.63317152677885,0
Connecticut,2017,12,11,2,3.358243101538999,3.078389509744082,0.5597071835898331
Arkansas,2014,7,6,6,2.3589738059548586,2.0219775479613076,2.0219775479613076
Arkansas,2015,9,3,1,3.0221138141494026,1.0073712713831342,0.33579042379437807
Arkansas,2016,14,8,1,4.682402661210107,2.6756586635486324,0.33445733294357904
Arkansas,2017,18,10,4,5.997311205476211,3.331839558597895,1.332735823439158
New Hampshire,2014,2,0,1,1.4999913750495932,0,0.7499956875247966
New Hampshire,2015,3,0,0,2.2449208665394544,0,0
New Hampshire,2016,11,5,3,8.194846633445255,3.7249302879296615,2.234958172757797
New Hampshire,2017,6,0,0,4.448441451467133,0,0
Maine,2014,3,0,1,2.2547694009754133,0,0.7515898003251377
Maine,2015,4,1,0,3.011454065538275,0.7528635163845687,0
Maine,2016,10,4,0,7.511359052727487,3.0045436210909946,0
Maine,2017,4,0,0,2.9971257563996128,0,0
Delaware,2014,2,2,1,2.14480201868766,2.14480201868766,1.07240100934383
Delaware,2015,1,1,0,1.0624147412170173,1.0624147412170173,0
Delaware,2016,1,0,0,1.0538285062718604,0,0
Delaware,2017,9,9,2,9.406128406194249,9.406128406194249,2.0902507569320554
Idaho,2014,3,2,1,1.8392360549122317,1.2261573699414878,0.6130786849707439
Idaho,2015,6,3,1,3.6340312490347104,1.8170156245173552,0.6056718748391184
Idaho,2016,3,0,0,1.7831881025689797,0,0
Idaho,2017,8,0,3,4.657350026052051,0,1.7465062597695193
Vermont,2014,3,3,0,4.798357042548631,4.798357042548631,0
Vermont,2015,1,0,0,1.5994472310369536,0,0
Vermont,2016,2,0,0,3.206890967310557,0,0
Vermont,2017,5,1,0,8.008405622541419,1.6016811245082838,0
Rhode Island,2014,2,1,0,1.8940541851021275,0.9470270925510638,0
Rhode Island,2015,3,4,0,2.840734235108634,3.7876456468115123,0
Rhode Island,2016,6,2,2,5.677678208124758,1.8925594027082526,1.8925594027082526
Rhode Island,2017,1,2,0,0.9472630255770489,1.8945260511540978,0
Nebraska,2014,5,2,0,2.660535374212282,1.0642141496849127,0
Nebraska,2015,3,0,1,1.5862298330704596,0,0.5287432776901533
Nebraska,2016,3,0,0,1.5742940865315993,0,0
Nebraska,2017,10,4,3,5.219351057205653,2.0877404228822614,1.565805317161696
Hawaii,2014,2,0,1,1.4138891991590186,0,0.7069445995795093
Hawaii,2016,2,1,0,1.4009928836566474,0.7004964418283237,0
North Dakota,2014,3,2,0,4.068342733465238,2.7122284889768253,0
North Dakota,2016,3,1,0,3.976490985294936,1.325496995098312,0
North Dakota,2017,4,0,0,5.2984202759947125,0,0
New Jersey,2014,2,2,1,0.22561840594955734,0.22561840594955734,0.11280920297477867
New Jersey,2015,3,2,1,0.33829693878483064,0.22553129252322043,0.11276564626161022
New Jersey,2016,7,4,3,0.7891034285754868,0.45091624490027815,0.3381871836752086
New Jersey,2017,10,7,3,1.125425903365305,0.7877981323557134,0.33762777100959146
South Dakota,2015,1,0,0,1.1709766413579583,0,0
South Dakota,2016,4,2,1,4.635015689528109,2.3175078447640547,1.1587539223820273
